悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
半死半生, はんしはんしょう, 生死の境目にあること。ほとんど死にかかっている状態
反面教師, はんめんきょうし, 悪い見本として反省や戒めの材料となる物事。または、そのような人物
売剣買牛, ばいけんばいぎゅう, 剣を売って牛を買うという意味で、戦争をやめて農業に力を尽くすことをいう。 別表記：「買牛売剣ばいぎゅうばいけん」
馬鹿正直, ばかしょうじき, 嘘偽りを言わないが、度が過ぎてかえって融通がきかないこと。愚直であること
幕天席地, ばくてんせきち, 天を屋根の代わりにして、大地を座席の代わりにするという意味。 志気が高いことを表す
馬氏五常, ばしごじょう, 兄弟が皆揃って優秀なことを表す言葉。 三国志に描かれている故事が由来
馬耳東風, ばじとうふう, 人の言うことに耳をかさず聞き流すこと
万古長青, ばんこちょうせい, 永久に変わらないこと。良い関係がいつまでも続くこと
万古不易, ばんこふえき, 永久に変わらないこと
万死一生, ばんしいっしょう, 必死の覚悟を決めて物事に取り組むこと。 または、ほとんど死が避けがたい危険な瀬戸際で辛うじて助かること
万能一心, ばんのういっしん, 何事を行うにしても、心を集中して取り組みなさいという教え
万物一馬, ばんぶついちば, この世に存在するあらゆるものは、すべて同一のものであるということの喩え
万物流転, ばんぶつるてん, ヘラクレイトスによって提唱された哲学の概念。 ギリシャ語の「panta rhei（パンタレイ）」の訳語
万夫不当, ばんぷふとう, 多くの人が立ち向かっても敵わないほど強いこと。 「万夫」は多くの人々
万理一空, ばんりいっくう, 「世界のすべては同じ一つの空の下にある」と悟ること
万里一空, ばんりいっくう, 本来は「どこまで行っても世界は１つの空の下にある」という意味で、物事を冷静に捉える精神を表現していた
万里同風, ばんりどうふう, 遥かに遠い地の果てまでも同じ風が吹くという意味
万緑一紅, ばんりょくいっこう, たくさんのものの中に、一つだけすぐれたものがあることのたとえ
飛花落葉, ひからくよう, 春に咲いた花もやがては散り、青葉も秋には枯れ落ちるということ。 絶えず移り変わる世の中の儚いことの喩え
悲喜交交, ひきこもごも, 喜びと悲しみを代わる代わる味わうこと。または、喜びと悲しみが入り交じっていること
飛耳長目, ひじちょうもく, 物事に精通していることの形容。 遠くのことを見聞きすることができる耳と目の意味
百依百順, ひゃくいひゃくじゅん, 何から何まで人の言いなりになること。 別表記：「百順百依ひゃくじゅんひゃくい」
百姓昭明, ひゃくせいしょうめい, 多くの人々が徳を明らかにして、世の中が平和で和やかなこと
百戦百勝, ひゃくせんひゃくしょう, 戦うたびに勝つこと
百鍛千練, ひゃくたんせんれん, 推敲に推敲を重ねること。 詩や文章の字句を百回も千回も考え練ることを意味する
百代過客, ひゃくだいのかかく, 永遠に歩き続ける旅人のこと。 絶えること無く続く時間や年月を意味する
百日天下, ひゃくにちてんか, ナポレオン1世が1815年にエルバ島を脱してパリに入り、帝政を復活してから、ワーテルローの戦いで敗北し退位するに至っ...
百人一首, ひゃくにんいっしゅ, 百人の歌人の和歌を一首ずつ選び集めた歌集。 またはそれを「かるた」にしたもの
百人百様, ひゃくにんひゃくよう, 考え方や、やり方は人それぞれに異なるということ
百年河清, ひゃくねんかせい, いつまでたっても実現する見込みのないこと。 主に「百年河清ひゃくねんかせいを俟まつ」として使う
百味飲食, ひゃくみおんじき, 多くの珍味、美味よりなる料理の数々。 人の死後49日間、霊に供える様々な供物
百家争鳴, ひゃっかそうめい, 多くの学者や論客が思想や学術上の意見を自由に発表し論争し合うこと
百下百全, ひゃっかひゃくぜん, 百のうち一つも欠けることがないこと。万全
百鬼夜行, ひゃっきやこう, 罪人や悪人が好き勝手に振る舞い、悪事を働くこと。 夜になると多くの妖怪が連なって歩き回るという意味
百発百中, ひゃっぱつひゃくちゅう, 発射した弾丸や弓矢がすべて命中すること。 計画や予想などがすべて狙い通りになること
氷炭相愛, ひょうたんそうあい, 氷と炭という、全く関連性のない相反する性質のものが、その特性を活かして互いに助け合うこと
表裏一体, ひょうりいったい, 二つのものの関係が、表と裏のように密接で切り離せないこと
品行方正, ひんこうほうせい, 行いが正しく、きちんとしていること。 「品行」は、普段の行動や振る舞いのこと
美男美女, びなんびじょ, 容姿の美しい男性と女性
風雲月露, ふううんげつろ, 詩を作りたくなるような美しい自然の風景
風花雪月, ふうかせつげつ, 夏の風、春の花、冬の雪、秋の月を意味する。 自然の美しい風景や、そこから生じる情緒情趣を表す中国語
風月玄度, ふうげつげんたく, 長い間会っていない友人を想うこと
風言風語, ふうげんふうご, 根拠がない言葉。根も葉もない噂話
風林火山, ふうりんかざん, 甲斐の戦国大名「武田信玄たけだしんげん」の旗指物（軍旗）に記されたとされている、戦時における四つの行動の指針
不協和音, ふきょうわおん, 二つ以上の音が同時に出されたとき、全体が調和しないで不快な感じを与える和音
福徳円満, ふくとくえんまん, 幸福や財産に恵まれ、満足していること。 「福徳」は幸福と利益
福利厚生, ふくりこうせい, 主に、企業が従業員に対して支給する、給与以外の援助やサービスのことを指す
不言実行, ふげんじっこう, あれこれ理屈を言わず、黙って実際に行動すること
不言不語, ふげんふご, 何も言わずに黙っていること。 一般に「言わず語らず」と訓読の形で用いられることが多い
富国強兵, ふこくきょうへい, 国を豊かにし、軍隊を強くすること。 明治政府が経済の発展と軍事力の強化によって近代的な国家を目指すために掲げた目標
父子相伝, ふしそうでん, 武道、茶道、華道、または学問や芸能などの奥義を、父から子へと何代にも渡って伝えること
父子有親, ふしゆうしん, 父と子の間柄は、親愛の情で結ばれなくてはならないという教え。 孟子が主張した「五倫」の徳のひとつ
不知案内, ふちあんない, 知識や心得がないために、実情や様子が判断できないこと。 「不知」は、知らないこと、わからないこと
不買美田, ふばいびでん, 子孫が堕落する原因になるので、あえて財産を残さないこと。 「児孫のために美田を買わず」の略
不聞不問, ふぶんふもん, 何も聞かず、何も問わず、その物事に無関心なこと。無関心を装うこと
不立文字, ふりゅうもんじ, 禅宗の用語。 「不立文字、教外別伝、直指人心、見性成仏」という言葉の最初の語句
物心両面, ぶっしんりょうめん, 物質的な面と精神的な面の両方の側面のこと。 金銭や物品などの形に見えるものと、応援や激励など心に関係していること
仏足石歌, ぶっそくせきか, 古代和歌の歌体の一つ。 形式は五・七・五・七・七・七を定型とする
文従字順, ぶんじゅうじじゅん, 文章がの筋が通っていて、表現もよどみなく読みやすいこと。 「文従い字順う」と訓読する
文人相軽, ぶんじんそうけい, 文学者や文化人は自尊心が高く、他の文人を見下す傾向があるということ。 「文人ぶんじん相あい軽かろんず」と訓読する
文人墨客, ぶんじんぼっかく, 詩文や書画などの風流を嗜む人のこと。 「文人」は詩文などに親しむ人
文武百官, ぶんぶひゃっかん, 行政や司法などに携わる文官と、軍事を任務とする武官を合わせた多くの役人。全ての役人
文武両道, ぶんぶりょうどう, 文事と武事、学芸と武芸、その両道に努め、秀でていること
文明開化, ぶんめいかいか, 先進国の思想、文化、産業、制度などを積極的にとり入れて文明が進み、急速に近代化すること
閉戸先生, へいこせんせい, 年中、門を閉じて家にこもり、読書や学問に没頭している人
平身低頭, へいしんていとう, ひたすら恐縮すること。 腰が低い様子
変態百出, へんたいひゃくしゅつ, 姿や形を様々に変えて、外部の変化に対応していくこと。 「変態」はその形態などが変わること
変法自強, へんぽうじきょう, 法律や制度を変えて、国力を強くすることを意味する。 1898年に中国で起こった政治改革運動
豊衣足食, ほういそくしょく, 衣服も食物も、充分に満ち足りていること。 豊かな生活の喩え
豊年満作, ほうねんまんさく, 作物が豊かに実って収穫が多いこと。 「豊年」は穀物がよく実ること
報本反始, ほうほんはんし, 先祖の恩恵や功績に感謝し、それに報いるという意味。 「本もとに報い始めに反かえる」と訓読する
北窓三友, ほくそうさんゆう, 白居易はくきょいの詩が出典で、文人に必要とされる「酒」「琴」「詩」のこと
北斗七星, ほくとしちせい, 大熊座の一部を構成する七つの星のこと
本家本元, ほんけほんもと, 最も正しい系統や血筋の大本のこと。 分家に対して、その分かれ出たもとの家
望文生義, ぼうぶんせいぎ, 文字の字面を見ただけで意味を深く考えずに、前後の文章から予想して語句の意味を勝手に解釈すること
望聞問切, ぼうぶんもんせつ, 医師が診察するうえでの大事な四つの方法。 「望」は目で察すること
満城風雨, まんじょうふうう, 街全体が風雨に襲われること。 または事件などの噂が広まり、街中が騒然とすること
万両分限, まんりょうぶげん, 何万両もの財産を持っている富豪。大金持ち
三日天下, みっかてんか, 国や組織などで権力を握っている期間がきわめて短いこと
三日法度, みっかはっと, 短い期間しか守られない法律や規則のこと。また、効き目の薄い薬などのこと
三日坊主, みっかぼうず, あきっぽい性格で、何をしても長続きしないこと
密雲不雨, みつうんふう, 前兆があるのに、依然として物事が変わらないこと
妙手回春, みょうしゅかいしゅん, 手を触れるだけで病が治るような、敏腕の医師の喩え。 医師の力で病気が良くなること
名字帯刀, みょうじたいとう, 名字を名乗り、太刀を腰に差す武士の特権のこと。 後に、特に家柄や功労によって庶民に対してもこの特例が許された
名聞利養, みょうもんりよう, 仏教用語で、名声、地位、財産などを得たいと願う欲望のこと。 同義語：「名聞利益みょうもんりやく」
民族自決, みんぞくじけつ, 各民族集団が、自らの意志に基づいて政治組織や政治体制を決定し、他民族や他国家の干渉を認めないとする集団的権利
無芸大食, むげいたいしょく, これといった特技もないのに、食べることだけは人並み以上である人を嘲って使う言葉
無間奈落, むげんならく, 仏教の八大地獄のうちの一つ。無間地獄または阿鼻地獄とも呼ばれる
無信不立, むしんふりつ, 政治に必要なことは食料と軍備と信頼の三つで、その中でも最も重要な一つが信頼であるという孔子の教え
無中生有, むちゅうしょうゆう, 兵法三十六計の第七計。 偽装工作をわざと露見させ、相手が油断した所を攻撃する策略
無手勝流, むてかつりゅう, 戦わずに、策略によって相手に勝つこと。 または自分勝手なやり方
無二無三, むにむさん, ただ一つしかなく、それに代わるものがないこと。 もとは仏教用語で、仏になる道は一つだけで、ほかに道はないという意味
無念千万, むねんせんばん, 目的を果たすことができず、甚はなはだしく残念なこと。 「無念」は、悔しいこと
無法千万, むほうせんばん, 法律を無視して道徳から外れること。また非常に無礼であることや酷く乱暴なこと
無明長夜, むみょうじょうや, 仏教用語。 多くの人々が煩悩に迷い、悟りを得ることができない理由を、長く続く夜の闇に喩えた言葉
無明世界, むみょうせかい, 仏教用語で、煩悩に満ちた世界を意味する。 人間が生きているこの現世のこと
無理往生, むりおうじょう, 自分の意見を強引に相手に押し付けて承諾させること。 威圧して無理に従わせること
無理非道, むりひどう, 道理や人の道から外れていること。道理に合わないこと
無理無体, むりむたい, 相手の意思を無視して、強引に物事を行うこと。 「無理」は道理から外れていること
無量大数, むりょうたいすう, 日本を含む漢字文化圏の数の単位の一つ
名花十友, めいかじゅうゆう, 中国の宋の詩人「曾端伯」が、美しい十種の花を選んで、風格の異なる十人の友に擬人化して喩えたもの
明鏡止水, めいきょうしすい, 一切の邪念がなく静かに落ち着いている心の状態の喩え。 「明鏡」は、一点の曇りもない明るく綺麗な鏡のこと
名山勝川, めいざんしょうせん, 景色のよい山や川。景勝の地
名実一体, めいじついったい, 名目と実体とが一致していること。 「名実」は、名前と実質、名声と功績、評判と実際のこと
名声過実, めいせいかじつ, 実際の才能や技能などよりも評判のほうが高いこと。評判ほどではないこと
明明白白, めいめいはくはく, 疑う余地がなく、はっきりしていること。 明確に他と区別できているという意味の「明白」を重ねて強調した言葉
面従後言, めんじゅうこうげん, その人の面前では従うように見せかけて、陰では悪口を言うこと。 「面従」は、人の面前でだけ従うこと
面張牛皮, めんちょうぎゅうひ, 牛の皮を顔に張るという意味で、非常に厚かましいことの喩え。鉄面皮てつめんぴ
面壁九年, めんぺきくねん, 長年に渡って一心不乱に努力すること
面目一新, めんもくいっしん, 世間からの評価が急に良く変わること。 外見や内容を新しく変わること
面目全非, めんもくぜんひ, 顔の形が別のものに変わってしまうこと。また、物事の様子が一変すること
目指気使, もくしきし, 言葉を使わずに、目で合図したり顔色で示したりして、自分より目下の者を指図して酷使すること
目食耳視, もくしょくじし, 見た目に捉われて、味よりも外見が豪華な食事を選び、世間の評判を気にして衣服を選ぶこと
目前心後, もくぜんしんご, 舞の心得で、「目は前方を向いているが、心は自分の後ろにおけ」という意味
目迷五色, もくめいごしき, 鮮やかな色彩に目を奪われて、実態が見えないこと。 「目は五色に迷う」と訓読する
文字寸半, もじきなか, 僅かなお金。ほんの少しのもの
物見遊山, ものみゆさん, 見物して遊び歩くこと。気晴らしに外出すること
門外不出, もんがいふしゅつ, 貴重なものを大切にしまっておいて、外部への持出しを許さないこと
問牛知馬, もんぎゅうちば, 直接関係のない話から始めて、相手の隠している情報を巧みに誘導し聞き出すこと。誘導尋問
門戸開放, もんこかいほう, 港や市場を諸外国に開放して経済活動の制限を撤廃すること。 「Open Door Policy」の訳語
門前成市, もんぜんせいし, 門の前にたくさんの人が集まり市場のようになっているな状況。 名声や権力があって人の出入りの多いことの喩え
問答無用, もんどうむよう, あれこれ議論しても何の利益もないこと。または相手の意向を無視して物事を行うこと
薬石無効, やくせきむこう, あらゆる薬や治療を施しても効き目がないこと。 手を尽くした甲斐なく亡くなってしまうときに使われる
約法三章, やくほうさんしょう, 秦を滅ぼした漢の高祖「劉邦りゅうほう」が重法に苦しんでいた民衆に約束した、わずか三つの法律のこと
野心満満, やしんまんまん, 大きな望みや志を持ってること
夜郎自大, やろうじだい, 世間を知らないで、自分の力を過大に評価すること、または、自信過剰の世間知らずのこと
有言実行, ゆうげんじっこう, 言ったことは必ず実行するということ。 「不言実行」の対として作られた言葉
有終完美, ゆうしゅうかんび, 物事を最後まで立派にやり遂げること。 別表記：「有終之美ゆうしゅうのび」 「有終の美を飾る」という使い方が多い
右文左武, ゆうぶんさぶ, 文武の両道を兼ね備えること。また、文武の両道で天下を治めること
有名無実, ゆうめいむじつ, 名前だけ立派で実力が伴わないこと。 名目上存在するが、それに伴う実質のないこと
陽動作戦, ようどうさくせん, 敵の注意をそらすために別の方面でわざと目立った動きをする作戦。牽制作戦とも呼ばれる
四字熟語, よじじゅくご, 漢字四文字で構成される言葉
夜目遠目, よめとおめ, 「夜目遠目笠の内」を略した言葉
四目十目, よめとおめ, 夫婦縁組みで、男女の年齢を、一方から数えて4年目または10年目にあたるもの、すなわち三つ違いと九つ違いのものは縁起が...
四方山話, よもやまばなし, いろいろな話題の話。世間話
来来世世, らいらいせせ, はるか先の未来のこと。来世のまた次の来世
落地成根, らくちせいこん, 植物の種子が地に落ちて、やがて根を張り、花が咲き、葉が繁り、また落葉となって土に還ること
落花流水, らっかりゅうすい, 落ちた花が水に従って流れるという意味で、過ぎていく春の景色を表す
覧古考新, らんここうしん, 古い事柄から学び、新しい問題を考察すること。 「古ふるきを覧み、新あたらしきを考える」と訓読する
梨園弟子, りえんていし, 歌舞伎役者のこと。 または広く演劇の俳優や役者をさすこともある
六合同風, りくごうどうふう, 天下が統一され、世の中が平和に治まっていて、習慣や風俗を同じくすること
立身栄達, りっしんえいだつ, 社会的に高い地位や身分を得ること。 「立身」は、社会的な地位を得ること
立身出世, りっしんしゅっせ, 社会的に高い地位について、世間に名を知られるようになること
理非曲直, りひきょくちょく, 物事の「善と悪」や「正と邪」のこと。道徳的に正しいことと間違っていること
裏面工作, りめんこうさく, 表に出ないところで、目的を達成するために働きかけること。秘密裏に対策を講じること
流言飛語, りゅうげんひご, 世の中で言いふらされる根拠のない噂話。デマ
流星光底, りゅうせいこうてい, 流星のように一瞬の間だけ煌きらめく光。 振り下ろした刀が一瞬輝くことを、流れ星の輝きに喩えた言葉
良玉精金, りょうぎょくせいきん, 穏やかで純粋な性格のこと。 良質な金属と立派な宝玉という意味
量才録用, りょうさいろくよう, その人の才能や力量をよく見計らって、その能力を充分に生かす地位に登用すること
量入制出, りょうにゅうせいしゅつ, 収入を計算して、その後に支出を計上すること。健全な財政
良薬苦口, りょうやくくこう, 病気に効く良い薬は、苦くて飲みにくいが効果があるという意味
慮外千万, りょがいせんばん, きわめて意外なこと。思いもかけないひどいこと
緑林白波, りょくりんはくは, 泥棒や盗賊の異称。また、その潜伏場所を表す
理路整然, りろせいぜん, 文章や話の筋道が秩序立てた論理で展開されていること。 「理路」は筋道のこと
励声一番, れいせいいちばん, 大切な場面で声を張り上げること。 威勢のよい掛け声
連日連夜, れんじつれんや, 幾日も幾夜も続けて。毎日毎夜
老気横秋, ろうきおうしゅう, 年老いても気力が充実していること
老少不定, ろうしょうふじょう, 仏教用語で、人間の寿命は年に関係ないので予測できないという意味。 老人が先に死に、若者が後から死ぬとは限らないこと
老若男女, ろうにゃくなんにょ, 年齢・性別に関わらない、あらゆる人々
六十耳順, ろくじゅうじじゅん, 六十歳になると、異なる考えも素直に受け入れることができるということ。 「六十にして耳みみ順したがう」と読み下す
和顔愛語, わがんあいご, 仏教経典で菩薩の和やかな表情を表す。 親しみやすく暖かい態度のこと
四月一日, わたぬき, 日本人の姓。 春になって暖かくなると、冬の間に防寒として着ていた服から、詰めてある綿わたを抜いていた
和風細雨, わふうさいう, 穏やかに吹く風と、静かにしとしとと降る細かい雨のこと
一大決心, いちだいけっしん, 生涯に何度もないような重大な決意。 「一大」は、「大」の中でも一番の意で、名詞の頭につけて合成語をつくる。
一人当千, いちにんとうせん, 非常に大きな力や実力があること。きわめて勇気のあること。一人の力が千人の力にも匹敵する意から。
一別以来, いちべついらい, 最後に会ってからこのかた。この前別れてから今まで。
一文半銭, いちもんはんせん, ごくわずかの金銭のたとえ。
一遊一予, いちゆういちよ,  一度の遊び。一度の楽しみ。
一心一徳, いっしんいっとく, 多くの人が共通の利益のために心を一つにして団結すること。
一刀三礼, いっとうさんらい, 仏像などを彫る態度が敬虔(けいけん)であること。仏像を彫刻するとき、ひと彫りごとに三度礼拝する意から。
一徳一心, いっとくいっしん, 多くの人が、共通の利益のために心を一つにして団結すること。「徳を一にし心を一にす」とも読む。
一飯千金, いっぱんせんきん, わずか恵に対しても十分な恩返しをすること。一度受けた食事の恵みには、千金の恩があるという意。
岡目八目, おかめはちもく, 当事者よりも第三者のほうが、情勢や損得などを正しく判断できること。
回光反照, かいこうへんしょう, 自分本来の姿を振り返り、反省して修行すること。または、日が沈む前に夕日の照り返しで一瞬明るくなるということから、死の間際に息を吹き返すこと。
家給人足, かきゅうじんそく, 安定していて豊かな生活のこと。「給」と「足」はどちらも満ち足りているという意味。
花朝月夕, かちょうげっせき, 春と秋の心地よい天気の時期。または、春と秋の季節の楽しみのこと。
高山流水, こうざんりゅうすい, 素晴らしい演奏や音楽のたとえ。または、自分のことを心から理解してくれる親友のこと。
作史三長, さくしのさんちょう, 才知、学問、識見という三つの能力のことで、歴史家が歴史書を書いたり、編集したりするために必要な能力をいう。
三界無安, さんがいむあん, 現世で生きることは、苦しいことや悩むことが多く、心が落ち着いて楽になることはないということ。
三界流転, さんがいるてん, 全ての生きているものは、三つの世界で生死を繰り返し続け、三つの世界を迷い続けるということ。
四十九日, しじゅうくにち, 仏教用語のひとつで、命日から数えて49日目に行う追善法要のことを指す。 
十死一生, じっしいっしょう, ほとんど助かる見込みがない状況でかろうじて助かること。
十風五雨, じゅうふうごう, 十日ごとに風が吹き、五日ごとに雨が降る、農耕に適した天候のこと。または、世の中が平和で穏やかな状態であることのたとえ。
四門出遊, しもんしゅつゆう, 釈迦が太子の時に、四つの門から外に出て老人、病人、死人、修行者を見つけて、出家を決意した伝説のこと。
春和景明, しゅんわけいめい, 春の日の天候が穏やかで、日の光が明るいこと。「春和」は春になって穏やかになった気候。「景明」は日光が明るい様子。
上行下効, じょうこうかこう, 上の立場の人が行動すると、下の立場の人はそれを見て学ぶということ。「効」は教わることや、真似をすること。
生死流転, しょうじるてん, 生まれては死に、死んでは生まれを何度も繰り返すこと。仏教の言葉で、悟りを得る事ができない人は、六道という六つの世界を巡り続けるということから。
小利大損, しょうりだいそん, 少しの利益を得ようとして、大きな利益を逃すこと。または、少しの利益を得ようとして、大損すること。
事理明白, じりめいはく, 物事の道理や筋道がはっきりとしていること。「事理」は物事の道理や筋道。「明白」ははっきりとしていてわかりやすいこと。
人心一新, じんしんいっしん, 人々の心を新しくすること。「人心」はたくさんの人々の心。「一新」は古いものを無くして、新しいものにすること。
心満意足, しんまんいそく, この上なく満たされた気持ちになること。「心満」と「意足」はどちらも心が満たされるという意味。
水村山郭, すいそんさんかく, 水辺の村と山里という意味。元は中国の江南地方ののどかな農村を表現した言葉。
生寄死帰, せいきしき, 人が生きているということは仮にこの世に身を寄せているだけで、死は自分の家に帰るかのように本来いるべき場所に帰ることだという意味。
精金良玉, せいきんりょうぎょく, 穏やかで純真な性格のたとえ。「精金」は不純物のない純粋な金属。「良玉」は美しい宝玉のこと。
雪月風花, せつげつふうか, 四季の季節ごとの美しい自然の風景。または、それらの風景を鑑賞して、詩歌を作る風流な様子のこと。
千村万落, せんそんばんらく, たくさんの村落。「千」と「万」は数が非常に多いことのたとえ。
大道不器, たいどうふき, 聖人が行う偉大な道は、普遍的で大きな働きをもつということ。「大道」は聖人が行う偉大な道。「器」は物を入れることしか使い道のない器のこと。
千五百秋, ちいほあき , 限りなく長い年月。永遠。
中通外直, ちゅうつうがいちょく, 君子の広い心には邪心がなく、行いは正しく、まっすぐなこと。君子のあり方を説いた言葉。
長安日辺, ちょうあんにっぺん, 非常に遠く離れている場所のこと。または、すぐれた才能と知恵があること。
長者三代, ちょうじゃさんだい, 金持ちの家は親子三代までもてばよいほうだということ。財産を築いた者の子が財産を使い、孫はさらに財産を浪費するという意味から。
長生不死, ちょうせいふし, いつまでも死なずに生き続けること。
打打発止, ちょうちょうはっし, 激しい議論を交わすこと。または刀などでお互いに激しく切り合って戦う様子を表す言葉。
天手古舞, てんてこまい, あわて騒ぐこと。忙しくて落ち着かないこと。
同文同種, どうぶんどうしゅ, 使われている文字と、人種が同じということ。「文」は文字。「種」は人種。
二百十日, にひゃくとおか, 立春の日から数えて210日目の日。 9月1日ごろになる。
博聞強記, はくぶんきょうき, 様々なことを聞き知っていて、その内容をしっかりと覚えていること。「博聞」は色々なことを聞き知っていること。「強記」はしっかりと覚えていること。
鼻元思案, はなもとじあん, 軽率な考えという意味。「鼻元」は鼻の付け根。「思案」は考えのこと。
万古千秋, ばんこせんしゅう, この上なく長い年月。永遠の歳月。「万古」は万年、永遠のたとえ。「千秋」は千年、長い年月のたとえ。
半知半解, はんちはんかい, 知っているだけでほとんど理解していないこと。「半知」は全体の半分だけ知っていること。「半解」は全体の半分だけ理解していること。
万万千千, ばんばんせんせん, 数がこの上なく多いことのたとえ。「万」と「千」は数が多いことのたとえで、繰り返して使うことで強調した言葉。
百川帰海, ひゃくせんきかい, 散り散りになっているものが一つに集まること。または、たくさんの人たちの意見や気持ちが一つになること。
真一文字, まいちもんじ, 「一」の字のようにまっすぐなこと。一直線であることや、わき目も振らないこと。
無茶苦茶, むちゃくちゃ, 物事の筋道が立たないこと。または、物事の程度をひどく超えていること。
有口無行, ゆうこうむこう, 口先だけで行動が伴わないこと。「有口」は口先だけがうまいこと。「無行」は行動しないこと。
良二千石, りょうにせんせき, よくその領内を治める地方長官。すぐれた知事。
六十六部, ろくじゅうろくぶ, 全国六六か所の霊場に一部ずつ納めて回るために書写した、六六部の法華経。また、それを納めて回る行脚僧。
一元描写, いちげんびょうしゃ, 小説の登場人物の動向や心理状態、事件の描写を、主人公一人の視点から一元的に表現すべきであるという小説作法。
異類中行, いるいちゅうぎょう, 多く人々を救済するために、仏や菩薩がこの世に身を置くこと。または、禅宗では指導者が修行者を導くために、様々な方法を取ること。
有相無相, うそうむそう, 姿・形をもっている存在と、姿・形によって現出させられた存在の本性。 現象と真理。 有象無象。
家常茶飯, かじょうさはん, 毎日起こるようなよくある出来事のこと。いつもと同じ茶と飯ということで、いつもの食事という意味から。
玉石同砕, ぎょくせきどうさい, すぐれているものや劣っているもの、賢者や愚者などがともに滅びてなくなること。宝石も石も一緒に砕けてなくなるという意味から。
黄中内潤, こうちゅうないじゅん, 才能や徳を外側に出すことなく、人知れず内側に持っていること。易経の五行説の言葉で、五色の色は青、赤、黄、白、黒という順番になるということから、「黄」は中央という意味。
深層心理, しんそうしんり, 普段生活しているときには意識されない、奥深いところに隠れている心理のこと。「心理」は心の動きや状態のこと。
生死肉骨, せいしにくこつ, どうすることもできない苦しい状況の者を救うこと。または、そのような状況から救ってもらった大恩のこと。
赤心奉国, せきしんほうこく, 誠意を込めて国のために尽くすこと。「赤心」は嘘のない本当の心という意味。
千古不易, せんこふえき, 永遠に変わらないこと。「千古」は大昔、または、遠い昔から現在まで長い時間のこと。「不易」は変わらないという意味。
大逆無道, たいぎゃくむどう, 道理や人の道からひどく外れた常軌を逸した行為のこと。「大逆」は君主や親を殺すなどの極悪な行い。「無道」は道理を無視した行いのこと。
弾丸雨注, だんがんうちゅう, 雨が激しく降るように、弾丸が降り注ぐこと。
朝過夕改, ちょうかせきかい, 犯した過ちをすぐに改めることのたとえ。朝に犯した過ちを夕方には改めるという意味から。
朝観夕覧, ちょうかんせきらん, 朝に見て、夕方にも見ること。絵画などの芸術品を何度も見て楽しむことをいう言葉。
朝生暮死, ちょうせいぼし, 命が短いこと。虫の蜉蝣などの成虫は寿命が一日しかなく、それらのことを言った言葉で、朝に生まれて、夜には死ぬということから、人生の儚さをいう言葉。
天災地変, てんさいちへん, 自然が変化することが原因で起こる様々な災いのこと。地震や台風、落雷、洪水、津波などの災害をいう。
頭髪上指, とうはつじょうし, 激しく怒り、髪の毛が逆立つこと。「上指」は上の方向を示すこと。
万世一系, ばんせいいっけい, 一つの血筋がいつまでも続いていくこと。「万世」は永遠、いつまでもという意味。「一系」は同じ家系のこと。
物我一体, もつがいったい, 仏教語で他の人と自分が一つになり、他者も自分もない境地のこと。
文章絶唱, ぶんしょうのぜっしょう, 非常にすぐれた文章や詩歌のこと。「絶唱」はこれ以上ないほどにすぐれた文章や詩歌のこと。
放言高論, ほうげんこうろん, 思ったことをそのまま言って、議論すること。「放言」は思いついたことを好き放題に言うこと。「高論」はすばらしい議論という意味。
末法思想, まっぽうしそう, 釈迦入滅から五百年を正法、そのあとの千年を像法、そのあとの一万年を末法といい、末法には仏の教えだけが残って悟りを開ける修行者がいなくなり、仏法が廃れ世の中が混乱するとされる歴史観のこと。
巻土重来, けんどちょうらい, 敗北や失敗によって一度は落ちた勢いを、再び取り戻して反撃することのたとえ。一度静まった土煙が、再び巻き上げられるという意味から。
浅学非才, せんがくひさい, 学問や知識が浅く、才能や能力が乏しいこと。自分のことを謙遜していう言葉。
普天卒土, ふてんそつど, 天の覆う限り、地の続く限りのすべての地。天下至る所。
青眼白眼, せいがんはくがん, 好き、嫌いで変わる目つき。親しい人には青眼（くろめ）を出し、嫌いな人には白眼（しろめ）をむく。
夜雨対床, やうたいしょう, 兄弟関係や友人関係が良好で、仲むつまじいことのたとえ。夜、雨の音を聞きながら、兄弟が寝台を並べて仲よく眠るという意味から。
十羊九牧, じゅうようきゅうぼく, 人口の割りに役人が多すぎることのたとえ。十頭の羊に九人の羊飼いという意味から。
愛月撤灯, あいげつてっとう, 月の光を愛すると、灯燭の明かりを消したくなるという意味。 特定の事物に対する愛情が激しいことを表す
相碁井目, あいごせいもく, 何事においても人の実力には大きな違いがあることの喩え。 「相碁」と「井目」はいずれも囲碁の専門用語
哀糸豪竹, あいしごうちく, 悲しげな音を出す琴と、明るく力強い音を出す笛のことで、音色が悲壮で人を感動させる様子を表す
愛執染着, あいしゅうぜんちゃく, 男女の愛欲の執着。異性に対する強い欲望にかられること
愛多憎生, あいたぞうせい, 人から受ける愛情も度を過ぎると、そのために第三者の憎しみや妬みを招き、身の破滅のもとになるので、人の愛情に甘え過ぎて...
愛別離苦, あいべつりく, 仏教用語で、「四苦八苦」のうちの１つ
青息吐息, あおいきといき, 非常に困ったときに出す元気のないため息
悪因悪果, あくいんあっか, 悪いことをすれば、必ず悪い結果や報いが生じるということ
悪逆非道, あくぎゃくひどう, 人の道を外して邪よこしまであること。比類のないほどの悪行のこと
